,Age,Age_group,Education,Marital_Status,Income,Children,Dt_Customer,Recency,Wines,Fruits,Meat,Fish,Sweet,Gold,Total_Spending,NumDeals,NumWeb,NumCatalog,NumStore,NumWebVisits,Total_Purchases,Avg_spend,Cmp3,Cmp4,Cmp5,Cmp1,Cmp2,Complain,Response,Campaign_Accepted
71,39,Middle Age,Postgraduate,Married,41430.414,1,2012-09-14,25,25,3,43,17,4,17,109,3,3,0,3,8,6,2.0,0,0,0,0,0,0,0,0
72,54,Adult,Graduate,Married,65031.0,1,2013-03-17,29,258,107,291,84,37,86,863,4,10,3,13,7,26,6.5,0,0,0,0,0,0,0,0
73,38,Middle Age,Postgraduate,Married,60631.0,2,2013-04-05,88,565,6,65,0,6,19,661,5,9,2,8,7,19,3.8,0,1,0,0,0,0,0,1
74,62,Adult,Graduate,Married,28332.0,0,2014-04-30,58,14,10,13,4,15,9,65,1,2,1,4,2,7,7.0,0,0,0,0,0,0,0,0
75,35,Middle Age,Graduate,Divorced,40246.0,1,2012-12-19,68,2,1,6,2,1,1,13,1,1,0,2,6,3,3.0,0,0,0,0,0,0,0,0
76,40,Middle Age,Postgraduate,Married,75251.0,0,2012-08-27,34,721,111,925,97,18,18,1890,1,7,6,5,5,18,18.0,0,0,0,0,0,0,1,1
77,36,Middle Age,Graduate,Single,75825.0,0,2012-10-12,40,1032,105,779,137,105,51,2209,0,5,8,9,4,22,inf,1,0,0,0,0,0,1,2
78,37,Middle Age,Postgraduate,Married,26326.0,0,2013-09-04,12,1,0,5,0,3,9,18,1,0,0,3,3,3,3.0,0,0,0,0,0,1,0,0
79,48,Adult,Graduate,Married,56046.0,0,2013-01-02,9,577,0,64,0,0,51,692,2,10,1,8,8,19,9.5,1,0,0,0,0,0,1,2
80,27,Middle Age,Graduate,Single,29760.0,1,2012-08-29,87,64,4,68,7,5,17,165,4,3,1,4,8,8,2.0,0,0,0,0,0,0,0,0
81,44,Middle Age,Graduate,Married,26304.0,1,2013-06-23,5,4,1,5,2,0,4,16,1,1,0,2,7,3,3.0,0,0,0,0,0,0,0,0
82,40,Middle Age,Postgraduate,Married,23559.0,1,2013-07-03,87,25,5,19,7,0,23,79,3,3,0,3,7,6,2.0,0,0,0,0,0,0,0,0
84,27,Middle Age,Graduate,Divorced,81361.0,0,2014-02-25,18,163,23,424,27,65,76,778,1,3,10,13,1,26,26.0,0,0,0,0,0,0,0,0
85,53,Adult,Graduate,Married,29440.0,2,2013-08-11,95,17,8,14,10,4,3,56,2,1,0,4,7,5,2.5,0,0,0,0,0,0,0,0
86,43,Middle Age,Postgraduate,Married,36138.0,2,2013-07-16,48,130,0,16,0,0,5,151,5,3,1,4,7,8,1.6,0,1,0,0,0,0,0,1
87,57,Adult,Graduate,Single,50388.0,1,2014-05-28,3,292,6,37,0,3,34,372,4,6,1,6,7,13,3.25,0,1,0,1,0,0,1,3
88,41,Middle Age,Graduate,Married,79593.0,0,2014-05-12,70,350,60,568,110,133,145,1366,1,5,6,7,2,18,18.0,0,0,1,0,0,0,0,1
89,47,Adult,Graduate,Married,54178.0,1,2014-01-21,79,135,9,39,4,0,7,194,1,2,2,5,2,9,9.0,0,0,0,0,0,0,0,0
90,55,Adult,Postgraduate,Married,60336.155818540436,3,2012-11-19,4,230,42,192,49,37,53,603,12,7,2,8,9,17,1.4166666666666667,0,0,0,0,0,0,0,0
91,57,Adult,Graduate,Single,32458.315891472866,2,2014-05-27,45,7,0,8,2,0,1,18,1,1,0,2,7,3,3.0,0,0,0,0,0,0,0,0
92,40,Middle Age,Postgraduate,Married,60336.155818540436,0,2013-11-23,87,445,37,359,98,28,18,985,1,2,4,8,1,14,14.0,0,0,0,0,0,0,0,0
93,42,Middle Age,Postgraduate,Single,42394.0,1,2014-03-23,69,15,2,10,0,1,4,32,1,1,0,3,7,4,4.0,0,0,0,0,0,0,0,0
94,44,Middle Age,Postgraduate,Married,23626.0,1,2014-05-24,84,27,2,14,0,0,0,43,3,3,1,3,5,7,2.3333333333333335,0,0,0,0,0,0,0,0
95,31,Middle Age,Graduate,Married,30096.0,1,2014-05-22,30,5,3,11,12,5,9,45,1,2,0,3,6,5,5.0,0,0,0,0,0,0,0,0
96,52,Adult,Graduate,Widow,47916.0,1,2012-11-22,72,505,0,26,0,0,75,606,5,7,4,6,6,17,3.4,0,1,0,0,0,0,0,1
97,41,Middle Age,Graduate,Divorced,51813.0,2,2013-04-11,37,51,2,7,0,1,2,63,2,2,0,3,7,5,2.5,0,0,0,0,0,0,0,0
98,62,Adult,Postgraduate,Married,78497.0,0,2013-12-01,44,207,26,447,75,0,223,978,1,5,7,12,2,24,24.0,0,0,0,1,0,0,0,1
99,30,Middle Age,Postgraduate,Married,50150.0,0,2013-06-20,32,135,46,92,65,61,11,410,2,5,2,7,5,14,7.0,0,0,0,0,0,0,0,0
100,53,Adult,Postgraduate,Single,47823.0,1,2013-07-23,0,53,1,5,2,1,10,72,2,2,0,3,8,5,2.5,0,0,0,0,0,0,0,0
101,55,Adult,Postgraduate,Single,34554.0,1,2014-03-30,43,41,1,6,2,0,5,55,2,2,0,3,6,5,2.5,0,0,0,0,0,0,0,0
102,34,Middle Age,Graduate,Married,85693.0,1,2013-04-20,59,386,172,183,185,132,111,1169,2,9,5,11,5,25,12.5,0,0,0,0,0,0,0,0
103,68,Elderly,Postgraduate,Married,65846.0,0,2013-05-17,68,562,81,276,80,40,81,1120,1,6,3,6,4,15,15.0,0,0,0,0,0,0,0,0
104,55,Adult,Graduate,Married,87195.0,0,2014-05-08,35,217,76,690,50,26,38,1097,1,3,11,5,1,19,19.0,0,0,0,0,0,0,1,1
105,34,Middle Age,Basic,Married,24594.0,1,2013-12-10,94,1,3,6,10,0,9,29,1,1,0,3,5,4,4.0,0,0,0,0,0,0,0,0
106,49,Adult,Graduate,Married,49096.0,2,2013-09-24,15,144,1,32,2,1,7,187,4,4,1,4,7,9,2.25,0,0,0,0,0,0,0,0
107,44,Middle Age,Graduate,Married,52413.0,2,2013-02-02,56,295,106,271,75,98,65,910,4,6,4,12,6,22,5.5,0,0,0,0,0,0,0,0
108,34,Middle Age,Graduate,Single,38557.0,1,2012-12-19,17,76,3,31,4,4,27,145,2,3,1,3,7,7,3.5,0,0,0,0,0,0,0,0
109,52,Adult,Postgraduate,Married,89058.0,0,2012-12-07,18,454,194,106,31,22,43,850,1,5,4,4,2,13,13.0,0,0,0,0,0,0,0,0
110,34,Middle Age,Graduate,Married,77298.0,1,2013-11-02,46,425,115,292,23,35,79,969,1,6,6,11,3,23,23.0,0,0,0,0,0,0,0,0
111,21,Young Adult,Postgraduate,Single,68126.0,0,2012-11-10,40,1332,17,311,23,51,86,1820,1,7,4,5,9,16,16.0,0,1,0,0,0,0,1,2
112,51,Adult,Postgraduate,Married,57288.0,1,2014-06-25,27,527,0,21,0,0,60,608,3,8,1,8,6,17,5.666666666666667,0,1,0,0,0,0,0,1
113,22,Young Adult,Graduate,Single,86037.0,0,2013-01-02,95,490,44,125,29,20,22,730,1,6,7,11,3,24,24.0,0,1,1,0,0,0,1,3
114,32,Middle Age,Postgraduate,Married,43974.0,1,2012-12-12,19,378,0,101,0,0,72,551,5,6,4,6,7,16,3.2,0,0,0,0,0,0,0,0
115,51,Adult,Graduate,Single,50785.0,2,2013-09-10,27,64,1,21,0,1,27,114,2,2,1,3,6,6,3.0,0,0,0,0,0,0,0,0
116,44,Middle Age,Graduate,Married,90765.0,0,2014-01-24,25,547,99,812,151,82,33,1724,0,4,6,5,1,15,inf,0,0,1,1,0,0,0,2
117,35,Middle Age,Postgraduate,Married,36550.0,1,2013-02-19,74,47,90,94,123,103,120,577,5,9,1,5,9,15,3.0,0,0,0,0,0,0,0,0
118,46,Adult,Postgraduate,Married,30753.0,2,2013-07-11,85,12,5,25,0,9,30,81,2,1,1,3,5,5,2.5,0,0,0,0,0,0,0,0
119,44,Middle Age,Graduate,Married,21918.0,1,2013-11-14,37,1,6,7,11,5,3,33,2,2,0,3,6,5,2.5,0,0,0,0,0,0,0,0
120,60,Adult,Postgraduate,Married,56129.0,1,2013-06-20,65,320,48,133,39,72,48,660,4,6,2,10,4,18,4.5,0,0,0,0,0,0,0,0
121,47,Adult,Postgraduate,Single,32557.0,1,2014-02-24,13,34,3,29,0,4,10,80,3,2,1,3,5,6,2.0,0,0,0,0,0,0,1,1
122,28,Middle Age,Postgraduate,Married,19510.0,2,2013-09-04,63,9,0,7,3,4,7,30,2,1,0,3,7,4,2.0,0,0,0,0,0,0,0,0
123,37,Middle Age,Graduate,Divorced,30992.0,1,2013-04-22,83,17,0,14,7,3,2,43,1,1,0,3,7,4,4.0,0,0,0,0,0,0,0,0
124,30,Middle Age,Graduate,Single,101970.0,0,2013-03-12,69,722,27,102,44,72,168,1135,0,6,8,13,2,27,inf,0,1,1,1,0,0,1,4
125,48,Adult,Postgraduate,Married,71488.0,0,2013-02-18,87,162,33,124,40,28,172,559,2,3,4,7,1,14,7.0,0,0,0,0,0,0,0,0
126,29,Middle Age,Graduate,Single,79607.0,0,2013-04-21,37,450,133,951,173,0,216,1923,1,3,6,6,1,15,15.0,0,0,0,0,0,0,1,1
127,61,Adult,Postgraduate,Married,54348.0,2,2014-06-08,51,70,0,16,0,0,4,90,2,2,0,4,6,6,3.0,0,0,0,0,0,0,0,0
128,52,Adult,Postgraduate,Married,60336.155818540436,1,2013-07-11,23,352,0,27,10,0,15,404,3,6,1,7,6,14,4.666666666666667,0,0,0,0,0,0,0,0
129,58,Adult,Postgraduate,Married,77376.0,2,2014-05-10,72,492,19,110,16,12,12,661,4,6,3,10,4,19,4.75,0,0,0,0,0,0,0,0
130,61,Adult,Graduate,Married,62998.0,1,2013-09-30,10,120,58,73,65,89,58,463,5,5,4,5,5,14,2.8,0,0,0,0,0,0,0,0
131,55,Adult,Postgraduate,Single,61331.0,2,2013-03-10,42,534,5,47,0,5,41,632,5,11,1,6,8,18,3.6,0,0,0,0,0,0,0,0
132,45,Adult,Graduate,Married,73448.0,0,2014-02-10,10,236,106,189,23,41,130,725,1,7,2,9,4,18,18.0,0,0,0,0,0,0,0,0
133,50,Adult,Graduate,Married,60336.155818540436,1,2013-08-11,96,231,65,196,38,71,124,725,1,6,5,7,4,18,18.0,0,0,0,0,0,0,0,0
134,49,Adult,Postgraduate,Married,41551.0,2,2013-08-14,51,220,0,33,3,0,23,279,5,5,1,5,8,11,2.2,0,0,0,0,0,0,0,0
135,46,Adult,Postgraduate,Married,62981.0,0,2013-03-17,21,796,14,590,38,44,0,1482,1,4,5,13,3,22,22.0,0,1,0,0,0,0,0,1
136,36,Middle Age,Basic,Divorced,9548.0,1,2012-08-08,31,0,1,3,10,6,9,29,2,1,0,3,8,4,2.0,0,0,0,0,0,0,0,0
137,54,Adult,Postgraduate,Married,33762.0,3,2013-07-07,61,53,1,34,2,0,16,106,3,2,2,2,8,6,2.0,0,0,0,0,0,0,0,0
138,41,Middle Age,Postgraduate,Single,35860.0,2,2014-05-19,37,15,0,8,4,2,20,49,2,1,1,2,5,4,2.0,1,0,0,0,0,0,1,2
139,48,Adult,Postgraduate,Divorced,36921.0,2,2013-07-28,74,17,1,12,3,1,4,38,2,2,0,3,7,5,2.5,0,0,0,0,0,0,0,0
140,20,Young Adult,Postgraduate,Single,92859.0,0,2012-10-19,46,962,61,921,52,61,20,2077,1,5,4,12,2,21,21.0,0,0,0,0,0,0,0,0
141,37,Middle Age,Postgraduate,Married,65104.0,1,2013-11-14,4,738,0,232,13,20,50,1053,2,3,5,7,7,15,7.5,0,0,0,0,0,0,1,1
142,51,Adult,Graduate,Married,86111.0,0,2013-04-19,73,399,28,756,36,40,126,1385,1,5,7,10,2,22,22.0,0,0,0,0,0,0,0,0
143,39,Middle Age,Postgraduate,Single,68352.0,1,2013-08-28,47,614,16,132,43,33,33,871,3,8,5,9,6,22,7.333333333333333,0,0,0,0,0,0,0,0
144,25,Middle Age,Graduate,Married,41883.0,1,2013-03-19,13,32,34,41,73,16,116,312,3,4,2,3,7,9,3.0,0,0,0,0,0,0,0,0
145,36,Middle Age,Graduate,Married,59809.0,2,2012-10-18,36,598,16,141,32,41,49,877,3,3,3,6,8,12,4.0,0,0,0,0,0,0,0,0
146,37,Middle Age,Graduate,Married,23957.0,1,2012-10-28,47,2,1,18,20,11,16,68,1,2,0,3,6,5,5.0,0,0,0,0,0,0,1,1
147,32,Middle Age,Graduate,Married,38547.0,1,2013-08-28,49,6,1,10,0,1,4,22,1,1,0,2,8,3,3.0,0,0,0,0,0,1,0,0
148,39,Middle Age,Postgraduate,Married,35688.0,3,2012-08-22,94,73,3,90,12,1,32,211,7,4,1,4,8,9,1.2857142857142858,0,0,0,0,0,0,0,0
149,48,Adult,Postgraduate,Married,49605.0,0,2014-06-21,65,42,16,29,12,20,8,127,1,2,1,4,3,7,7.0,0,0,0,0,0,0,0,0
150,61,Adult,Postgraduate,Married,59354.0,2,2014-04-24,59,295,21,78,39,13,13,459,1,4,4,7,3,15,15.0,0,0,0,0,0,0,0,0
151,45,Adult,Graduate,Married,65747.0,1,2014-03-07,96,346,17,48,23,13,13,460,4,8,1,6,6,15,3.75,0,1,0,0,0,0,0,1
152,40,Middle Age,Postgraduate,Married,46344.0,1,2012-12-14,28,233,20,57,8,20,91,429,4,7,1,5,7,13,3.25,0,0,0,0,0,0,0,0
153,26,Middle Age,Graduate,Single,34176.0,1,2014-05-12,12,5,7,24,19,14,20,89,4,3,0,4,6,7,1.75,0,0,0,0,0,0,0,0
154,60,Adult,Postgraduate,Married,61010.0,1,2012-10-09,57,888,0,57,0,0,76,1021,2,8,5,11,5,24,12.0,0,0,0,0,0,0,0,0
155,64,Adult,Graduate,Married,69372.0,0,2013-02-19,10,997,26,269,34,13,42,1381,1,10,4,6,4,20,20.0,0,1,1,0,0,0,1,3
156,55,Adult,Graduate,Single,49967.0,1,2013-07-08,4,212,6,69,4,12,3,306,3,6,1,5,7,12,4.0,0,0,0,0,0,0,0,0
157,35,Middle Age,Graduate,Single,60199.0,3,2013-09-12,49,8,1,7,2,0,0,18,1,0,0,3,4,3,3.0,0,0,0,0,0,0,0,0
158,36,Middle Age,Graduate,Married,55375.0,1,2013-10-17,3,42,11,57,10,28,14,162,1,1,1,6,2,8,8.0,0,0,0,0,0,0,0,0
159,58,Adult,Graduate,Single,80317.0,0,2013-08-20,64,536,11,387,149,91,57,1231,1,3,4,10,1,17,17.0,0,0,0,0,0,0,0,0
160,55,Adult,Postgraduate,Single,30523.0,3,2013-07-01,0,5,0,3,0,0,5,13,1,1,0,2,7,3,3.0,0,0,0,0,0,0,0,0
161,67,Elderly,Postgraduate,Married,70356.0,0,2012-11-05,20,1349,16,249,43,16,33,1706,2,10,6,9,6,25,12.5,0,0,0,0,0,0,0,0
162,30,Middle Age,Graduate,Married,23228.0,1,2014-01-05,91,53,3,49,7,4,5,121,4,3,0,4,8,7,1.75,0,0,0,0,0,0,0,0
163,38,Middle Age,Postgraduate,Divorced,74165.0,0,2013-05-01,9,1001,12,240,16,12,12,1293,1,5,4,10,2,19,19.0,0,0,0,0,0,0,0,0
165,47,Adult,Graduate,Married,43482.0,3,2013-11-13,83,18,1,32,6,3,28,88,3,2,0,4,6,6,2.0,0,0,0,0,0,0,0,0
166,60,Adult,Graduate,Divorced,62551.0,0,2013-11-18,27,125,16,98,134,21,27,421,1,6,7,4,3,17,17.0,1,0,0,0,0,0,0,1
167,54,Adult,Graduate,Divorced,52332.0,0,2013-08-28,63,212,5,33,7,0,2,259,1,3,2,6,4,11,11.0,0,1,0,0,0,0,0,1
168,25,Middle Age,Graduate,Single,66951.0,0,2013-11-02,46,277,162,305,173,76,124,1117,1,3,4,7,1,14,14.0,0,0,0,0,0,0,0,0
169,57,Adult,Graduate,Married,26091.0,2,2014-02-25,84,15,10,19,8,17,20,89,3,2,1,3,5,6,2.0,0,0,0,0,0,0,0,0
